date,capacity,turnover,open,high,low,close,change,transaction
2020-03-10 00:00:00,126000,2231000,17.55,17.95,17.5,17.9,0,77
2020-03-11 00:00:00,103000,1853000,17.95,18.05,17.9,17.9,0,55
2020-03-12 00:00:00,335000,5961000,17.75,17.9,17.65,17.85,-0.05,139
2020-03-13 00:00:00,463000,7765000,17.5,17.5,16.5,16.7,-1.15,208
2020-03-16 00:00:00,224000,3733000,16.7,17,16.45,16.7,0,108
2020-03-17 00:00:00,224000,3597000,16.5,16.5,15.95,16,-0.7,132
2020-03-18 00:00:00,270000,4201000,15.45,15.9,15.3,15.5,-0.5,155
2020-03-19 00:00:00,352000,4994000,15.1,15.1,13.95,13.95,-1.55,179
2020-03-20 00:00:00,168000,2431000,14.1,14.7,14.1,14.55,0.6,81
2020-03-23 00:00:00,64000,909000,13.2,14.55,13.2,14.5,-0.05,39
2020-03-24 00:00:00,49000,731000,14.5,15.5,14.5,15.35,0.85,32
2020-03-25 00:00:00,188000,3009000,15.5,16.15,15.5,15.9,0.55,75
2020-03-26 00:00:00,40000,644000,16.1,16.25,15.9,16,0.1,28
2020-03-27 00:00:00,57000,917000,16.05,16.3,15.8,16.1,0.1,43
2020-03-30 00:00:00,82000,1325000,16,16.3,15.8,16.3,0.2,38
2020-03-31 00:00:00,89000,1468000,16.3,16.6,16.3,16.6,0.3,47
2020-04-01 00:00:00,10000,165000,16.35,16.7,16.35,16.6,0,9
2020-04-06 00:00:00,47000,766000,16.6,16.6,16.15,16.5,-0.1,32
2020-04-07 00:00:00,54000,893000,16.55,16.65,16.5,16.5,0,29
2020-04-08 00:00:00,55000,913000,16.65,16.65,16.55,16.65,0.15,39
2020-04-09 00:00:00,34000,567000,16.65,16.8,16.6,16.65,0,31
2020-04-10 00:00:00,51000,842000,16.65,16.7,16.5,16.65,0,41
2020-04-13 00:00:00,24000,401000,16.5,16.7,16.4,16.65,0,18
2020-04-14 00:00:00,35000,585000,16.65,16.85,16.65,16.75,0.1,27
2020-04-15 00:00:00,94000,1585000,16.85,17.1,16.8,17.1,0.35,36
2020-04-16 00:00:00,78000,1328000,17,17.15,16.9,17.15,0.05,38
2020-04-17 00:00:00,82000,1409000,17.3,17.3,17.1,17.2,0.05,35
2020-04-20 00:00:00,27000,461000,17.15,17.15,17,17.15,-0.05,15
2020-04-21 00:00:00,103000,1751000,17.05,17.05,16.9,17,-0.15,43
2020-04-22 00:00:00,45000,763000,16.8,17.1,16.6,17.05,0.05,30
2020-04-23 00:00:00,74000,1265000,17.1,17.1,16.95,17,-0.05,37
2020-04-24 00:00:00,82000,1416000,17.6,17.6,17.15,17.3,0.3,32
2020-04-27 00:00:00,91000,1601000,17.55,17.75,17.15,17.65,0.35,33
2020-04-28 00:00:00,86000,1540000,17.65,18,17.65,17.8,0.15,46
2020-04-29 00:00:00,61000,1097000,17.8,18,17.65,17.9,0.1,34
2020-04-30 00:00:00,106000,1898000,17.9,18,17.8,17.95,0.05,65
2020-05-04 00:00:00,57000,1017000,17.9,17.9,17.5,17.9,-0.05,25
2020-05-05 00:00:00,41000,740000,17.7,17.9,17.7,17.85,-0.05,21
2020-05-06 00:00:00,127000,2297000,17.85,18.15,17.85,18.1,0.25,58
2020-05-07 00:00:00,84000,1535000,18.3,18.45,18.15,18.2,0.1,47
2020-05-08 00:00:00,63000,1144000,18.2,18.2,18.1,18.15,-0.05,29
2020-05-11 00:00:00,109000,1974000,18.2,18.25,18.05,18.05,-0.1,57
2020-05-12 00:00:00,39000,699000,17.9,17.95,17.85,17.9,-0.15,17
2020-05-13 00:00:00,68000,1212000,17.65,17.9,17.65,17.8,-0.1,42
2020-05-14 00:00:00,54000,956000,17.65,17.75,17.6,17.75,-0.05,39
2020-05-15 00:00:00,72000,1270000,17.9,17.9,17.55,17.65,-0.1,44
2020-05-18 00:00:00,27000,468000,17.5,17.65,17.5,17.6,-0.05,25
2020-05-19 00:00:00,47000,833000,17.7,17.9,17.7,17.8,0.2,34
2020-05-20 00:00:00,18000,322000,17.8,17.85,17.7,17.85,0.05,17
2020-05-21 00:00:00,35000,618000,17.7,17.95,17.7,17.85,0,29
2020-05-22 00:00:00,42000,751000,17.85,17.9,17.75,17.75,-0.1,24
2020-05-25 00:00:00,66000,1192000,17.65,18,17.65,18,0.25,25
2020-05-26 00:00:00,65000,1173000,18.05,18.1,17.9,17.95,-0.05,32
2020-05-27 00:00:00,70000,1259000,17.95,18.15,17.85,18.1,0.15,39
2020-05-28 00:00:00,69000,1231000,18.1,18.1,17.85,17.85,-0.25,39
2020-05-29 00:00:00,25000,444000,17.85,18,17.75,18,0.15,20
2020-06-01 00:00:00,22000,389000,17.95,18,17.95,17.95,-0.05,15
2020-06-02 00:00:00,72000,1300000,18.05,18.15,17.95,18,0.05,37
2020-06-03 00:00:00,35000,633000,18,18.1,17.85,18.05,0.05,26
2020-06-04 00:00:00,55000,996000,18.05,18.1,18,18,-0.05,37
